ID_EQ_ESP;NOME;NOME_POPULAR;TIPO;TIPO_LOGRADOURO;LOGRADOURO;NUMERO;COMPLEMENTO;NOME_BAIRRO_POPULAR;REF_LOGRADOURO;GEOMETRIA;GESTOR_EQUIP_ESPORT;STATUS
1816;CAMPO DO PARQUE ECOLÓGICO PADRE ALFREDO SABETTA;PARQUE TEIXEIRA DIAS;CAMPO DE FUTEBOL SOCIETY;RUA;ANTONIO TEIXEIRA DIAS;1001.0;;TEIXEIRA DIAS; ;POINT (602492.21 7790131.64);FPMZB-SMMA;ATIVO
1352;QUADRA DO CONJUNTO TÚNEL IBIRITÉ;;QUADRA POLIESPORTIVA;RUA;SILVERIA DE ALMEIDA E SILVA;111.0;;TÚNEL DE IBIRITÉ; ;POINT (599739.13 7789540.34);SMEL;ATIVO
1922;QUADRA DO SENHOR BOM JESUS 1;;QUADRA POLIESPORTIVA;RUA;TERESINA;320.0;;BOM JESUS; ;POINT (609475.90 7799451.51);SMEL;ATIVO
1923;QUADRA DO SENHOR BOM JESUS 2;;QUADRA DE PETECA;RUA;TERESINA;320.0;;BOM JESUS; ;POINT (609483.00 7799424.12);SMEL;ATIVO
1218;CAMPO DO GALO DE OURO;;CAMPO DE FUTEBOL;RUA;TIA NADIR;121.0;;VISTA DO SOL; ;POINT (616185.38 7804606.59);SMEL;ATIVO
1312;QUADRA DA PRAÇA MADECAUS;;QUADRA DE FUTSAL;RUA;RODRIGUES DO PRADO;55.0;;ERMELINDA; ;POINT (608763.58 7800968.11);SMEL;ATIVO
1350;QUADRA DA PRAÇA JOSÉ VERANO DA SILVA;PRAÇA DA FEBEM;QUADRA DE FUTSAL;ALAMEDA;LOUZAK;55.0;;MIRAMAR; ;POINT (603919.33 7788728.07);SMEL;ATIVO
1481;ACADEMIA DO CRAS CALIFÓRNIA;;ACADEMIA A CÉU ABERTO;AVENIDA;AVAI;700.0;;VILA CALIFÓRNIA; ;POINT (603841.44 7797185.12);SMASAC;ATIVO
1890;QUADRA DO RIVIERA 1;PARQUE LINEAR VALE DO ARRUDAS;QUADRA POLIESPORTIVA;RUA;ITAGUA;360.0;;ALTO VERA CRUZ; ;POINT (616072.61 7798725.18);FPMZB-SMMA;ATIVO
1891;QUADRA DO RIVIERA 2;PARQUE LINEAR VALE DO ARRUDAS;QUADRA POLIESPORTIVA;RUA;ITAGUA;360.0;;ALTO VERA CRUZ; ;POINT (616095.47 7798728.82);FPMZB-SMMA;ATIVO
1892;CAMPO DO RIVIERA;PARQUE LINEAR VALE DO ARRUDAS;CAMPO DE FUTEBOL;RUA;ITAGUA;360.0;;ALTO VERA CRUZ; ;POINT (616098.93 7798692.80);FPMZB-SMMA;ATIVO
1261;QUADRA DA PRAÇA MANOEL BATISTA BAIA;;QUADRA DE PETECA;RUA;LISIO BARRETO;323.0;;ARAGUAIA; ;POINT (606405.76 7810311.77);SMEL;ATIVO
2081;QUADRA DA RUA CORONEL ROBSON ZAMPROGNO;;QUADRA DE FUTSAL;RUA;CORONEL ROBSON ZAMPROGNO;11.0;;GRANJA DE FREITAS; ;POINT (617319.07 7798111.04);SMEL;ATIVO
2753;QUADRA DA RUA VIVINA;;QUADRA RECREATIVA;RUA;VIVINA FARIA DO NASCIMENTO;340.0;;SENHOR DOS PASSOS; ;POINT (610153.00 7798475.41);SMEL;ATIVO
1289;CAMPO DO MADALENA;;CAMPO DE FUTEBOL SOCIETY;RUA;JUVENIL BARBOSA DA SILVA;139.0;;JARDIM FELICIDADE; ;POINT (612460.49 7807113.05);PERMISSÃO DE USO;ATIVO
1222;PISTA DE SKATE DA PRAÇA PADRE HERMANO DONKER;;PISTA DE SKATE;RUA;JACAREI;760.0;;PINDORAMA; ;POINT (602384.42 7798025.49);SMEL;ATIVO
1236;CAMPO DO PARQUE ECOLÓGICO JARDIM VITÓRIA;;CAMPO DE FUTEBOL SOCIETY;RUA;ARMINDO GONCALVES FERREIRA;5.0;;JARDIM VITÓRIA; ;POINT (617067.45 7804644.65);FPMZB-SMMA;ATIVO
2563;ACADEMIA DO PARQUE ECOLÓGICO JARDIM VITÓRIA;;ACADEMIA A CÉU ABERTO;RUA;ARMINDO GONCALVES FERREIRA;5.0;;JARDIM VITÓRIA; ;POINT (617081.29 7804647.55);SMEL;ATIVO
1240;CAMPO DO BONSUCESSO;;CAMPO DE FUTEBOL SOCIETY;RUA;DA IGREJA;147.0;;BONSUCESSO; ;POINT (605528.93 7790350.56);SMEL;ATIVO
